studyCode,Study,t1,t2,treat1,treat2,lab1,lab2,hr,lower,upper
1,Checkmate227,1,2,che,niv+ipi,che,niv+ipi,0.77,0.66,0.9
2,Checkmate9LA,1,3,che,niv+ipi+che,che,niv+ipi+che,0.78,0.63,0.96
3,Impower130,1,4,che,ate+che,che,ate+che,0.79,0.64,0.98
4,Impower132,1,4,che,ate+che,che,ate+che,0.86,0.71,1.06
5,Impower150,5,4,bev+che,ate+che,bev+che,ate+che,0.84,0.71,1
5,Impower150,5,6,bev+che,ate+bev+che,bev+che,ate+bev+che,0.8,0.67,0.95
5,Impower150,4,6,ate+che,ate+bev+che,ate+che,ate+bev+che,0.95 ,0.75 ,1.22 
6,Keynote189,1,7,che,pem+che,che,pem+che,0.56,0.46,0.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
